id,Exited
165034,0
165035,1
165036,1
165037,1
165038,0
165039,0
165040,0
165041,1
165042,1
165043,1
165044,1
165045,0
165046,1
165047,0
165048,1
165049,0
165050,1
165051,1
165052,0
165053,1
165054,0
165055,0
165056,1
165057,0
165058,1
165059,0
165060,1
165061,1
165062,0
165063,1
165064,1
165065,0
165066,0
165067,0
165068,0
165069,1
165070,1
165071,1
165072,1
165073,1
165074,1
165075,1
165076,0
165077,0
165078,1
165079,0
165080,1
165081,0
165082,0
165083,1
165084,1
165085,0
165086,1
165087,1
165088,1
165089,1
165090,1
165091,1
165092,0
165093,1
165094,0
165095,0
165096,1
165097,1
165098,0
165099,0
165100,1
165101,0
165102,1
165103,1
165104,1
165105,1
165106,1
165107,0
165108,0
165109,1
165110,1
165111,0
165112,1
165113,1
165114,1
165115,1
165116,1
165117,0
165118,1
165119,0
165120,1
165121,1
165122,0
165123,0
165124,1
165125,0
165126,1
165127,0
165128,1
165129,0
165130,1
165131,0
165132,1
165133,1
165134,1
165135,0
165136,0
165137,0
165138,1
165139,1
165140,0
165141,0
165142,0
165143,1
165144,0
165145,1
165146,1
165147,1
165148,1
165149,1
165150,0
165151,1
165152,1
165153,0
165154,1
165155,0
165156,0
165157,0
165158,1
165159,0
165160,1
165161,1
165162,1
165163,0
165164,0
165165,1
165166,1
165167,0
165168,0
165169,1
165170,0
165171,1
165172,1
165173,1
165174,0
165175,1
165176,0
165177,0
165178,1
165179,1
165180,0
165181,1
165182,1
165183,0
165184,1
165185,1
165186,0
165187,1
165188,1
165189,0
165190,1
165191,0
165192,1
165193,0
165194,1
165195,0
165196,1
165197,1
165198,1
165199,0
165200,1
165201,1
165202,1
165203,1
165204,1
165205,0
165206,0
165207,1
165208,0
165209,1
165210,1
165211,1
165212,0
165213,0
165214,1
165215,0
165216,1
165217,0
165218,0
165219,1
165220,0
165221,1
165222,0
165223,1
165224,0
165225,1
165226,1
165227,0
165228,0
165229,1
165230,1
165231,1
165232,0
165233,0
165234,1
165235,1
165236,1
165237,0
165238,1
165239,1
165240,1
165241,0
165242,1
165243,1
165244,1
165245,1
165246,1
165247,1
165248,1
